Entry	Gene Names	Gene Ontology (molecular function)
O74934	POX1 ACO1 YALI0E32835g	acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]
O74935	POX2 ACO2 YALI0F10857g	acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]
O74936	POX3 ACO3 YALI0D24750g	acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]
P18120	LEU2 YALI0C00407g	3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]
P41555	ICL1 YALI0C16885g	isocitrate lyase activity [GO:0004451]; metal ion binding [GO:0046872]; methylisocitrate lyase activity [GO:0046421]
P59680	PFK1 YALI0D16357g	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]
P80547	SCP2 YALI0E01298g	lipid binding [GO:0008289]
Q05493	POT1 YALI0E18568g	acetyl-CoA C-acyltransferase activity [GO:0003988]
Q36257	ATP8	proton transmembrane transporter activity [GO:0015078]
Q36258	ATP6	proton transmembrane transporter activity [GO:0015078]
Q37695	OLI1 ATP9	lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]
Q6BZP5	YALI0F31999g	isocitrate lyase activity [GO:0004451]; methylisocitrate lyase activity [GO:0046421]
Q6C079	YALI0_F27093g	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; DNA replication origin binding [GO:0003688]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]
Q6C0B5	PIM1 YALI0F26169g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; single-stranded DNA binding [GO:0003697]
Q6C0T3	YALI0_F21945g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; MCM complex binding [GO:1904931]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]
Q6C0Z6	CCP1 YALI0F20504g	cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]
Q6C105	ATP4 YALI0_F20306g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C116	FEN1 YALI0F20042g	5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]
Q6C195	SSU72 YALI0F18194g	myosin phosphatase activity [GO:0017018]; protein tyrosine phosphatase activity [GO:0004725]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]
Q6C1K4	YALI0_F15477g	"ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent DNA damage sensor activity [GO:0140664]; DNA strand exchange activity [GO:0000150]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]; single-stranded DNA binding [GO:0003697]; Swi5-Sfr1 complex binding [GO:1905334]"
Q6C292	YALI0_F09746g	ATP binding [GO:0005524]; calcium-dependent protein kinase C activity [GO:0004698]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6C2A3	BUD32 YALI0F09471g	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6C2N4	YALI0_F06402g	ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; double-stranded DNA binding [GO:0003690]; histone binding [GO:0042393]; single-stranded DNA binding [GO:0003697]
Q6C2N7	ATG15 YALI0F06358g	phospholipase activity [GO:0004620]; triglyceride lipase activity [GO:0004806]
Q6C2V4	YALI0_F04818g	3'-5' DNA/RNA helicase activity [GO:0033679]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
Q6C2W1	YALI0_F04664g	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]
Q6C2X0	PKAR YALI0F04422g	cAMP binding [GO:0030552]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; identical protein binding [GO:0042802]
Q6C326	ATP1 YALI0_F03179g	"ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"
Q6C338	ATP3 YALI0_F02893g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6C3E5	YALI0F00396g	aminopeptidase activity [GO:0004177]; epoxide hydrolase activity [GO:0004301]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]
Q6C3J2	IPL1 YALI0E34375g	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6C3X7	DBP5 YALI0E31427g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6C462	PAN2 YALI0E29403g	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; poly(A)-specific ribonuclease activity [GO:0004535]
Q6C4A3	RAI1 YALI0E28490g	enzyme regulator activity [GO:0030234]; metal ion binding [GO:0046872]; mRNA 5'-diphosphatase activity [GO:0034353]; nucleotide binding [GO:0000166]; phosphodiesterase decapping endonuclease activity [GO:1990174]; RNA binding [GO:0003723]; RNA NAD-cap (NAD-forming) hydrolase activity [GO:0110152]
Q6C4I6	HTA1 YALI0E26477g	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q6C4I7	HTB1 YALI0E26455g	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q6C4J0	POL2 YALI0E26367g	"4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; zinc ion binding [GO:0008270]"
Q6C4K3	DUS3 YALI0E26048g	flavin adenine dinucleotide binding [GO:0050660]; metal ion binding [GO:0046872]; tRNA dihydrouridine synthase activity [GO:0017150]; tRNA-dihydrouridine47 synthase activity [GO:0102265]
Q6C4P0	YALI0_E24893g	chromatin binding [GO:0003682]; histone deacetylase activity [GO:0004407]; histone H3K14 deacetylase activity [GO:0031078]; identical protein binding [GO:0042802]
Q6C4Y5	DOT1 YALI0E22715g	histone binding [GO:0042393]; histone H3K79 methyltransferase activity [GO:0031151]; histone H3K79 trimethyltransferase activity [GO:0140956]
Q6C5G5	set-2 YALI0E18260g	histone H3K36 methyltransferase activity [GO:0046975]; histone H3K36 trimethyltransferase activity [GO:0140955]
Q6C5Q7	YALI0_E16038g	protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]
Q6C619	NPL4 YALI0E13233g	ubiquitin binding [GO:0043130]; ubiquitin protein ligase binding [GO:0031625]
Q6C627	YALI0E13057g	acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042]; glutamate N-acetyltransferase activity [GO:0004358]; methione N-acyltransferase activity [GO:0103045]
Q6C649	YALI0_E12441g	phosphatidyl-N-dimethylethanolamine N-methyltransferase activity [GO:0080101]; phosphatidyl-N-methylethanolamine N-methyltransferase activity [GO:0000773]
Q6C7D2	HAS1 YALI0E01782g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6C7R2	YALI0_D26103g	"DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]"
Q6C7Z9	YALI0_D23969g	"ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]"
Q6C855	NIP1 YALI0D22572g	RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q6C877	ATP16 YALI0_D22022g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"
Q6C890	ERF2 YALI0D21670g	protein-cysteine S-palmitoyltransferase activity [GO:0019706]
Q6C893	PSD1 YALI0_D21604g	phosphatidylserine decarboxylase activity [GO:0004609]
Q6C8A3	LIG4 YALI0D21384g	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; metal ion binding [GO:0046872]
Q6C8C6	YALI0_D20768g	dihydrolipoyl dehydrogenase activity [GO:0004148]; flavin adenine dinucleotide binding [GO:0050660]; glycine dehydrogenase (decarboxylating) activity [GO:0004375]; oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; pyruvate dehydrogenase activity [GO:0004738]
Q6C8F0	CEX1 YALI0_D20196g	citrate transmembrane transporter activity [GO:0015137]; transmembrane transporter activity [GO:0022857]
Q6C8S0	ATP18 YALI0_D17490g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"
Q6C910	YALI0_D15246g	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; double-stranded telomeric DNA binding [GO:0003691]; G-quadruplex DNA binding [GO:0051880]; metal ion binding [GO:0046872]; single-stranded telomeric DNA binding [GO:0043047]
Q6C961	RAT1 YALI0D13750g	5'-3' RNA exonuclease activity [GO:0004534]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]
Q6C9B1	ATP5 OSCP YALI0_D12584g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"
Q6C9K1	YALI0_D10571g	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]; identical protein binding [GO:0042802]
Q6C9Q1	SPB1 YALI0D09251g	rRNA (guanine) methyltransferase activity [GO:0016435]; rRNA (guanosine-2'-O-)-methyltransferase activity [GO:0070039]; rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650]
Q6CAD2	TEL1 YALI0D03888g	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6CAE7	PSD2 YALI0_D03480g	phosphatidylserine decarboxylase activity [GO:0004609]
Q6CAZ5	YALI0_C23144g	5'-3' RNA exonuclease activity [GO:0004534]; chromatin binding [GO:0003682]; eukaryotic initiation factor 4G binding [GO:0031370]; RNA binding [GO:0003723]
Q6CB54	SAR1 YALI0C21824g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
Q6CBK1	UBA4 YALI0C18095g	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; protein adenylyltransferase activity [GO:0070733]; thiosulfate sulfurtransferase activity [GO:0004792]; URM1 activating enzyme activity [GO:0042292]
Q6CCH0	TAH18 YALI0C09460g	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]; oxidoreductase activity [GO:0016491]
Q6CCW0	HEM1 YALI0C06083g	5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]
Q6CD10	YALI0_C04774g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; structural constituent of cytoskeleton [GO:0005200]
Q6CDL9	HAM1 YALI0B22924g	dITP diphosphatase activity [GO:0035870]; ITP diphosphatase activity [GO:0036220]; metal ion binding [GO:0046872]; nucleoside triphosphate diphosphatase activity [GO:0047429]; nucleotide binding [GO:0000166]; XTP diphosphatase activity [GO:0036222]
Q6CDM0	BNA5 YALI0B22902g	3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]
Q6CDS6	ROK1 YALI0B21538g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6CE42	MCM7 YALI0_B18722g	3'-5' DNA/RNA helicase activity [GO:0033679]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; four-way junction helicase activity [GO:0009378]; MCM complex binding [GO:1904931]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
Q6CE48	IND1 YALI0B18590g	"4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP-dependent FeS chaperone activity [GO:0140663]; metal ion binding [GO:0046872]"
Q6CED4	YALI0_B16544g	3'-5' DNA/RNA helicase activity [GO:0033679]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688]; four-way junction helicase activity [GO:0009378]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
Q6CEE9	YALI0B16192g	"mannitol 2-dehydrogenase (NADP+) activity [GO:0050085]; NADP binding [GO:0050661]; oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]"
Q6CEG2	COQ3 YALI0_B15884g	"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinol-6 3-O-methyltransferase activity [GO:0061543]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]"
Q6CEJ6	CCR4 YALI0B15147g	metal ion binding [GO:0046872]; poly(A)-specific ribonuclease activity [GO:0004535]; RNA binding [GO:0003723]
Q6CEM3	YALI0_B14553g	3'-5'-DNA exonuclease activity [GO:0008296]; adenylate kinase activity [GO:0004017]; double-stranded telomeric DNA binding [GO:0003691]; G-quadruplex DNA binding [GO:0051880]; manganese ion binding [GO:0030145]; molecular adaptor activity [GO:0060090]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; single-stranded telomeric DNA binding [GO:0043047]
Q6CES1	YALI0_B13464g	"2 iron, 2 sulfur cluster binding [GO:0051537]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; diphosphoinositol-pentakisphosphate kinase activity [GO:0033857]; inositol heptakisphosphate kinase activity [GO:0000829]; inositol hexakisphosphate 1-kinase activity [GO:0052723]; inositol hexakisphosphate 3-kinase activity [GO:0052724]; inositol hexakisphosphate 5-kinase activity [GO:0000832]; inositol hexakisphosphate kinase activity [GO:0000828]; inositol-1,3,4,5,6-pentakisphosphate kinase activity [GO:0000827]; inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 1-diphosphatase activity [GO:0052846]; inositol-1-diphosphate-2,3,4,5,6-pentakisphosphate diphosphatase activity [GO:0052843]"
Q6CEU3	PIF1 YALI0_B12892g	5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; G-quadruplex DNA binding [GO:0051880]; single-stranded DNA binding [GO:0003697]; telomerase inhibitor activity [GO:0010521]
Q6CF18	NTE1 YALI0B11044g	lysophospholipase activity [GO:0004622]; phosphatidyl phospholipase B activity [GO:0102545]
Q6CFD2	MET3 YALI0B08184g	adenylylsulfate kinase activity [GO:0004020]; ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]
Q6CFT4	VPS27 YALI0B04070g	metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; ubiquitin binding [GO:0043130]
Q6CG48	PAC1 LIS1 YALI0B00902g	dynein complex binding [GO:0070840]; microtubule plus-end binding [GO:0051010]
Q6CG57	ADK1 YALI0B00704g	adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]
Q6CH03	ADI1 YALI0A14498g	acireductone dioxygenase (Ni2+-requiring) activity [GO:0010308]; acireductone dioxygenase [iron(II)-requiring] activity [GO:0010309]; iron ion binding [GO:0005506]; nickel cation binding [GO:0016151]
Q6CH90	SUB2 YALI0A11157g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6CI63	YALI0_A01353g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]
Q8WZM0	GCN5 YALI0E02772g	histone H3 acetyltransferase activity [GO:0010484]; histone H3K14 acetyltransferase activity [GO:0036408]; histone H3K18 acetyltransferase activity [GO:0043993]; histone H3K9 acetyltransferase activity [GO:0043992]
Q99148	ADE1 YALI0F21010g	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]
Q99155	PEX2 PAY5 YALI0F01012g	transferase activity [GO:0016740]; zinc ion binding [GO:0008270]
Q99170	KAR2 YALI0E13706g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]
B5FVB3	ATP19 YALI0_B11913g	
B5FVB8	ATP20 YALI0_B21527g	"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]"
B5FVI0	URM1 YALI0E19481g	protein tag [GO:0031386]
B5RSL5	YALI0_F13354g	protein-containing complex binding [GO:0044877]; rDNA binding [GO:0000182]; RNA polymerase II complex binding [GO:0000993]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]
B5RSM1	SUS1 YALI0F26136g	chromatin binding [GO:0003682]; transcription coactivator activity [GO:0003713]
C0HLB1	ATP15	
F2Z617	YALI0_C22770g	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
F2Z640	YALI0_D26315g	identical protein binding [GO:0042802]; transcription coactivator activity [GO:0003713]; transcription corepressor activity [GO:0003714]
F2Z672	YALI0_B22308g	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; mannokinase activity [GO:0019158]
F2Z678	ADH2 YALI0E17787g	alcohol dehydrogenase (NAD+) activity [GO:0004022]; zinc ion binding [GO:0008270]
F2Z6H7	YALI0_A14542g	"dynein complex binding [GO:0070840]; histone binding [GO:0042393]; histone deacetylase binding [GO:0042826]; mediator complex binding [GO:0036033]; microtubule plus-end binding [GO:0051010]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; transcription corepressor activity [GO:0003714]"
F2Z6J4	COQ6 YALI0_A09042g	"2-octaprenyl-6-methoxyphenol hydroxylase activity [GO:0008681]; 4-hydroxy-3-all-trans-hexaprenylbenzoate oxygenase activity [GO:0106364]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen [GO:0016709]"
O59949	TEF YALI0C09141g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]
P29407	PGK1 YALI0D12400g	ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]
P30614	PYK1 YALI0F09185g	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]
P30887	PHO2 YALI0D03465g	acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]
P36966	PEX6 PAY4 YALI0C18689g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; protein transporter activity [GO:0140318]
P38997	LYS5 YALI0B15444g	"saccharopine dehydrogenase (NAD+, L-lysine-forming) activity [GO:0004754]; saccharopine dehydrogenase activity [GO:0004753]"
P41923	URA5 YALI0F21527g	orotate phosphoribosyltransferase activity [GO:0004588]
P41924	RYL1 YALI0E23067g	GTP binding [GO:0005525]; GTPase activity [GO:0003924]
P41929	LYC1 YALI0E05533g	"lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]"
P41943	GPR1 YALI0C23617g	acetate transmembrane transporter activity [GO:0015123]
P42781	XPR6 YALI0F13189g	serine-type endopeptidase activity [GO:0004252]
P45815	CRF1 YALI0B08206g	"copper ion binding [GO:0005507]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]"
P45817	PEX9 PAY2 YALI0F00748g	
P78978	RIM101 RPH2 YALI0B13640g	DNA binding [GO:0003677]; metal ion binding [GO:0046872]
P78979	SEC61 YALI0E21912g	peptide transmembrane transporter activity [GO:1904680]; protein transmembrane transporter activity [GO:0008320]; protein-transporting ATPase activity [GO:0015450]; ribosome binding [GO:0043022]; signal sequence binding [GO:0005048]
Q12724	URA3 YALI0E26741g	orotidine-5'-phosphate decarboxylase activity [GO:0004590]
Q12725	EXG1 YALI0F05390g	"glucan endo-1,6-beta-glucosidase activity [GO:0046557]; glucan exo-1,3-beta-glucosidase activity [GO:0004338]"
Q12726	LYS1 YALI0F31075g	homocitrate synthase activity [GO:0004410]; metal ion binding [GO:0046872]
